Y_dimension(mm),Button,True_depth(m),meas,button_raw
59.291,1.0,13.3813265625,2.4307525e-10,0.0
59.291,1.0,13.3810765625,2.4722025e-10,0.0
59.291,1.0,13.3808265625,3.34569e-10,0.0
59.291,1.0,13.3805765625,4.50661e-10,0.0
59.291,1.0,13.3803265625,6.78805e-10,0.0
59.291,1.0,13.3800765625,6.84885e-10,0.0
59.291,1.0,13.3798265625,9.220125e-10,0.0
59.291,1.0,13.3795765625,1.1856375e-09,0.0
59.291,1.0,13.3793265625,1.22379e-09,0.0
59.291,1.0,13.3790765625,1.2182125e-09,0.0
59.291,1.0,13.3788265625,1.210255e-09,0.0
59.291,1.0,13.3785765625,1.205915e-09,0.0
59.291,1.0,13.3783265625,1.272575e-09,0.0
59.291,1.0,13.3780765625,1.3606725e-09,0.0
59.291,1.0,13.3778265625,1.5128200000000002e-09,0.0
59.291,1.0,13.3775765625,1.57802e-09,0.0
59.291,1.0,13.3773265625,1.598685e-09,0.0
59.291,1.0,13.3770765625,1.556425e-09,0.0
59.291,1.0,13.3768265625,1.6097125e-09,0.0
59.291,1.0,13.3765765625,1.856545e-09,0.0
59.291,1.0,13.3763265625,1.7672324999999999e-09,0.0
59.291,1.0,13.3760765625,1.835775e-09,0.0
59.291,1.0,13.3758265625,1.8495449999999997e-09,0.0
59.291,1.0,13.3755765625,1.8745025e-09,0.0
59.291,1.0,13.3753265625,1.93961e-09,0.0
59.291,1.0,13.3750765625,1.62106e-09,0.0
59.291,1.0,13.3748265625,1.9556175e-09,0.0
59.291,1.0,13.3745765625,1.9872e-09,0.0
59.291,1.0,13.3743265625,2.09353e-09,0.0
59.291,1.0,13.3740765625,1.94632e-09,0.0
59.291,1.0,13.3738265625,2.0555074999999997e-09,0.0
59.291,1.0,13.3735765625,2.04709e-09,0.0
59.291,1.0,13.3733265625,1.97838e-09,0.0
59.291,1.0,13.3730765625,1.8498175e-09,0.0
59.291,1.0,13.3728265625,2.0657574999999997e-09,0.0
59.291,1.0,13.3725765625,2.3564e-09,0.0
59.291,1.0,13.3723265625,2.358705e-09,0.0
59.291,1.0,13.3720765625,1.9980225e-09,0.0
59.291,1.0,13.3718265625,2.2076225000000003e-09,0.0
59.291,1.0,13.3715765625,2.06542e-09,0.0
59.291,1.0,13.3713265625,2.05111e-09,0.0
59.291,1.0,13.3710765625,2.1204975e-09,0.0
59.291,1.0,13.3708265625,2.0610525e-09,0.0
59.291,1.0,13.3705765625,2.186745e-09,0.0
59.291,1.0,13.3703265625,2.05021e-09,0.0
59.291,1.0,13.3700765625,2.0243725e-09,0.0
59.291,1.0,13.3698265625,2.140795e-09,0.0
59.291,1.0,13.3695765625,1.921085e-09,0.0
59.291,1.0,13.3693265625,2.0025975e-09,0.0
59.291,1.0,13.3690765625,1.906585e-09,0.0
59.291,1.0,13.3688265625,1.85798e-09,0.0
59.291,1.0,13.3685765625,1.6605e-09,0.0
59.291,1.0,13.3683265625,2.00819e-09,0.0
59.291,1.0,13.3680765625,1.903155e-09,0.0
59.291,1.0,13.3678265625,2.118235e-09,0.0
59.291,1.0,13.3675765625,1.925655e-09,0.0
59.291,1.0,13.3673265625,1.9066675e-09,0.0
59.291,1.0,13.3670765625,1.9223175e-09,0.0
59.291,1.0,13.3668265625,1.797065e-09,0.0
59.291,1.0,13.3665765625,1.96129e-09,0.0
