Y_dimension(mm),Button,True_depth(m),meas,button_raw
57.138,1.0,18.6800734375,1.42139e-08,0.0
57.138,1.0,18.6798234375,1.424255e-08,0.0
57.138,1.0,18.6795734375,1.43178e-08,0.0
57.138,1.0,18.6793234375,1.432575e-08,0.0
57.138,1.0,18.6790734375,1.43228e-08,0.0
57.138,1.0,18.6788234375,1.41303e-08,0.0
57.138,1.0,18.6785734375,1.441545e-08,0.0
57.138,1.0,18.6783234375,1.42403e-08,0.0
57.138,1.0,18.6780734375,1.439625e-08,0.0
57.138,1.0,18.6778234375,1.4432450000000001e-08,0.0
57.138,1.0,18.6775734375,1.4475e-08,0.0
57.138,1.0,18.6773234375,1.4460875e-08,0.0
57.138,1.0,18.6770734375,1.438105e-08,0.0
57.138,1.0,18.6768234375,1.452505e-08,1.0
57.138,1.0,18.6765734375,1.4707575e-08,1.0
57.138,1.0,18.6763234375,1.4446875e-08,1.0
57.138,1.0,18.6760734375,1.45348e-08,1.0
57.138,1.0,18.6758234375,1.4712475e-08,1.0
57.138,1.0,18.6755734375,1.4734525e-08,1.0
57.138,1.0,18.6753234375,1.4748175e-08,1.0
57.138,1.0,18.6750734375,1.467865e-08,1.0
57.138,1.0,18.6748234375,1.48262e-08,1.0
57.138,1.0,18.6745734375,1.499535e-08,1.0
57.138,1.0,18.6743234375,1.4816300000000001e-08,1.0
57.138,1.0,18.6740734375,1.48207e-08,1.0
57.138,1.0,18.6738234375,1.44782e-08,1.0
57.138,1.0,18.6735734375,1.4816775e-08,1.0
57.138,1.0,18.6733234375,1.490835e-08,1.0
57.138,1.0,18.6730734375,1.48695e-08,1.0
57.138,1.0,18.6728234375,1.48167e-08,1.0
57.138,1.0,18.6725734375,1.49191e-08,1.0
57.138,1.0,18.6723234375,1.49361e-08,1.0
57.138,1.0,18.6720734375,1.487445e-08,1.0
57.138,1.0,18.6718234375,1.48278e-08,1.0
57.138,1.0,18.6715734375,1.485795e-08,1.0
57.138,1.0,18.6713234375,1.50239e-08,1.0
57.138,1.0,18.6710734375,1.48615e-08,1.0
57.138,1.0,18.6708234375,1.4944075e-08,1.0
57.138,1.0,18.6705734375,1.483375e-08,1.0
57.138,1.0,18.6703234375,1.47027e-08,1.0
57.138,1.0,18.6700734375,1.46943e-08,1.0
57.138,1.0,18.6698234375,1.4709125e-08,1.0
57.138,1.0,18.6695734375,1.4665725e-08,1.0
57.138,1.0,18.6693234375,1.4404675e-08,1.0
57.138,1.0,18.6690734375,1.461405e-08,1.0
57.138,1.0,18.6688234375,1.45518e-08,1.0
57.138,1.0,18.6685734375,1.46407e-08,1.0
57.138,1.0,18.6683234375,1.4585275e-08,1.0
57.138,1.0,18.6680734375,1.4515e-08,1.0
57.138,1.0,18.6678234375,1.44307e-08,1.0
57.138,1.0,18.6675734375,1.454835e-08,1.0
57.138,1.0,18.6673234375,1.45095e-08,1.0
57.138,1.0,18.6670734375,1.4356225e-08,1.0
57.138,1.0,18.6668234375,1.41854e-08,1.0
57.138,1.0,18.6665734375,1.42582e-08,1.0
57.138,1.0,18.6663234375,1.4138875e-08,1.0
57.138,1.0,18.6660734375,1.41293e-08,1.0
