Y_dimension(mm),Button,True_depth(m),meas,button_raw
53.61,0.0,21.222621875,1.5554816666666668e-08,0.0
53.61,0.0,21.222371875,1.54569e-08,0.0
53.61,0.0,21.222121875,1.5397e-08,0.0
53.61,0.0,21.221871875,1.529955e-08,0.0
53.61,0.0,21.221621875,1.54283e-08,0.0
53.61,0.0,21.221371875,1.53403e-08,0.0
53.61,0.0,21.221121875,1.5278175e-08,0.0
53.61,0.0,21.220871875,1.540745e-08,0.0
53.61,0.0,21.220621875,1.5313024999999998e-08,0.0
53.61,0.0,21.220371875,1.541005e-08,0.0
53.61,0.0,21.220121875,1.515405e-08,0.0
53.61,0.0,21.219871875,1.5045e-08,0.0
53.61,0.0,21.219621875,1.5316600000000002e-08,0.0
53.61,0.0,21.219371875,1.53225e-08,0.0
53.61,0.0,21.219121875,1.506525e-08,0.0
53.61,0.0,21.218871875,1.5038274999999997e-08,0.0
53.61,0.0,21.218621875,1.490765e-08,0.0
53.61,0.0,21.218371875,1.4859575e-08,0.0
53.61,0.0,21.218121875,1.48192e-08,0.0
53.61,0.0,21.217871875,1.480325e-08,0.0
53.61,0.0,21.217621875,1.468385e-08,0.0
53.61,0.0,21.217371875,1.4714175e-08,0.0
53.61,0.0,21.217121875,1.493505e-08,0.0
53.61,0.0,21.216871875,1.43394e-08,0.0
53.61,0.0,21.216621875,1.487835e-08,0.0
53.61,0.0,21.216371875,1.47468e-08,0.0
53.61,0.0,21.216121875,1.448705e-08,0.0
53.61,0.0,21.215871875,1.4273375e-08,0.0
53.61,0.0,21.215621875,1.4396025e-08,0.0
53.61,0.0,21.215371875,1.443775e-08,0.0
53.61,0.0,21.215121875,1.4513025e-08,0.0
53.61,0.0,21.214871875,1.466285e-08,0.0
53.61,0.0,21.214621875,1.4306275000000001e-08,0.0
53.61,0.0,21.214371875,1.426985e-08,0.0
53.61,0.0,21.214121875,1.42183e-08,0.0
53.61,0.0,21.213871875,1.4203825e-08,0.0
53.61,0.0,21.213621875,1.40223e-08,0.0
53.61,0.0,21.213371875,1.4286775e-08,0.0
53.61,0.0,21.213121875,1.407325e-08,0.0
53.61,0.0,21.212871875,1.3961625e-08,0.0
53.61,0.0,21.212621875,1.39457e-08,0.0
53.61,0.0,21.212371875,1.39404e-08,0.0
53.61,0.0,21.212121875,1.39155e-08,0.0
53.61,0.0,21.211871875,1.3874575e-08,0.0
53.61,0.0,21.211621875,1.3895075e-08,0.0
53.61,0.0,21.211371875,1.420155e-08,0.0
53.61,0.0,21.211121875,1.40617e-08,0.0
53.61,0.0,21.210871875,1.3681575e-08,0.0
53.61,0.0,21.210621875,1.381475e-08,0.0
53.61,0.0,21.210371875,1.40288e-08,0.0
53.61,0.0,21.210121875,1.4303875e-08,0.0
53.61,0.0,21.209871875,1.3622475e-08,0.0
53.61,0.0,21.209621875,1.369395e-08,0.0
53.61,0.0,21.209371875,1.37487e-08,0.0
53.61,0.0,21.209121875,1.381265e-08,0.0
53.61,0.0,21.208871875,1.398765e-08,0.0
53.61,0.0,21.208621875,1.3820525e-08,0.0
53.61,0.0,21.208371875,1.38156e-08,0.0
53.61,0.0,21.208121875,1.3991525000000005e-08,0.0
53.61,0.0,21.207871875,1.37567e-08,0.0
53.61,0.0,21.207621875,1.3745875e-08,0.0
53.61,0.0,21.207371875,1.357075e-08,0.0
53.61,0.0,21.207121875,1.412465e-08,0.0
53.61,0.0,21.206871875,1.378005e-08,0.0
53.61,0.0,21.206621875,1.365285e-08,0.0
53.61,0.0,21.206371875,1.37195e-08,0.0
53.61,0.0,21.206121875,1.3665e-08,0.0
53.61,0.0,21.205871875,1.368505e-08,0.0
53.61,0.0,21.205621875,1.3589825e-08,0.0
53.61,0.0,21.205371875,1.33652e-08,0.0
53.61,0.0,21.205121875,1.3355425e-08,0.0
53.61,0.0,21.204871875,1.349765e-08,0.0
53.61,0.0,21.204621875,1.3746575e-08,0.0
53.61,0.0,21.204371875,1.316375e-08,0.0
53.61,0.0,21.204121875,1.3393e-08,0.0
53.61,0.0,21.203871875,1.3522925e-08,0.0
53.61,0.0,21.203621875,1.3385625e-08,0.0
53.61,0.0,21.203371875,1.325255e-08,0.0
53.61,0.0,21.203121875,1.35327e-08,0.0
53.61,0.0,21.202871875,1.369405e-08,0.0
53.61,0.0,21.202621875,1.34346e-08,0.0
53.61,0.0,21.202371875,1.32996e-08,0.0
53.61,0.0,21.202121875,1.3441025e-08,0.0
53.61,0.0,21.201871875,1.3321800000000001e-08,0.0
53.61,0.0,21.201621875,1.3364025e-08,0.0
53.61,0.0,21.201371875,1.337985e-08,0.0
53.61,0.0,21.201121875,1.3267175e-08,0.0
53.61,0.0,21.200871875,1.335865e-08,0.0
53.61,0.0,21.200621875,1.349015e-08,0.0
53.61,0.0,21.200371875,1.316515e-08,0.0
53.61,0.0,21.200121875,1.325625e-08,0.0
53.61,0.0,21.199871875,1.33882e-08,0.0
53.61,0.0,21.199621875,1.3394275e-08,0.0
53.61,0.0,21.199371875,1.32404e-08,0.0
53.61,0.0,21.199121875,1.3347325e-08,0.0
53.61,0.0,21.198871875,1.327005e-08,0.0
53.61,0.0,21.198621875,1.3198725e-08,0.0
53.61,0.0,21.198371875,1.321845e-08,0.0
53.61,0.0,21.198121875,1.3111325e-08,0.0
53.61,0.0,21.197871875,1.314425e-08,0.0
53.61,0.0,21.197621875,1.278635e-08,0.0
53.61,0.0,21.197371875,1.334095e-08,0.0
53.61,0.0,21.197121875,1.32103e-08,0.0
53.61,0.0,21.196871875,1.306775e-08,0.0
53.61,0.0,21.196621875,1.294395e-08,0.0
53.61,0.0,21.196371875,1.28e-08,0.0
53.61,0.0,21.196121875,1.292385e-08,0.0
53.61,0.0,21.195871875,1.2774975e-08,0.0
53.61,0.0,21.195621875,1.297965e-08,0.0
53.61,0.0,21.195371875,1.27843e-08,0.0
53.61,0.0,21.195121875,1.276945e-08,0.0
53.61,0.0,21.194871875,1.275245e-08,0.0
53.61,0.0,21.194621875,1.2798450000000001e-08,0.0
53.61,0.0,21.194371875,1.28022e-08,0.0
53.61,0.0,21.194121875,1.2789175e-08,0.0
53.61,0.0,21.193871875,1.26837e-08,0.0
53.61,0.0,21.193621875,1.29184e-08,0.0
53.61,0.0,21.193371875,1.26228e-08,0.0
53.61,0.0,21.193121875,1.262025e-08,0.0
53.61,0.0,21.192871875,1.26381e-08,0.0
