Y_dimension(mm),Button,True_depth(m),meas,button_raw
55.765,0.0,34.387940625,1.628665e-08,0.0
55.765,0.0,34.387690625,1.6187475e-08,0.0
55.765,0.0,34.387440625,1.616085e-08,0.0
55.765,0.0,34.387190625,1.591655e-08,0.0
55.765,0.0,34.386940625,1.560785e-08,0.0
55.765,0.0,34.386690625,1.557405e-08,0.0
55.765,0.0,34.386440625,1.54399e-08,0.0
55.765,0.0,34.386190625,1.537575e-08,0.0
55.765,0.0,34.385940625,1.553965e-08,0.0
55.765,0.0,34.385690625,1.566015e-08,0.0
55.765,0.0,34.385440625,1.5700775e-08,0.0
55.765,0.0,34.385190625,1.59136e-08,0.0
55.765,0.0,34.384940625,1.55812e-08,0.0
55.765,0.0,34.384690625,1.5297575e-08,0.0
55.765,0.0,34.384440625,1.5318875e-08,0.0
55.765,0.0,34.384190625,1.52638e-08,0.0
55.765,0.0,34.383940625,1.54101e-08,0.0
55.765,0.0,34.383690625,1.5375700000000002e-08,0.0
55.765,0.0,34.383440625,1.55056e-08,0.0
55.765,0.0,34.383190625,1.5441325e-08,0.0
55.765,0.0,34.382940625,1.500235e-08,0.0
55.765,0.0,34.382690625,1.570395e-08,0.0
55.765,0.0,34.382440625,1.5835175000000002e-08,0.0
55.765,0.0,34.382190625,1.58623e-08,0.0
55.765,0.0,34.381940625,1.579485e-08,0.0
55.765,0.0,34.381690625,1.52428e-08,0.0
55.765,0.0,34.381440625,1.570085e-08,0.0
55.765,0.0,34.381190625,1.5332625e-08,0.0
55.765,0.0,34.380940625,1.520925e-08,0.0
55.765,0.0,34.380690625,1.5163049999999998e-08,0.0
55.765,0.0,34.380440625,1.50565e-08,0.0
55.765,0.0,34.380190625,1.5072e-08,0.0
55.765,0.0,34.379940625,1.40847e-08,0.0
55.765,0.0,34.379690625,1.4866475e-08,0.0
55.765,0.0,34.379440625,1.47573e-08,0.0
55.765,0.0,34.379190625,1.4869650000000001e-08,0.0
55.765,0.0,34.378940625,1.51071e-08,0.0
55.765,0.0,34.378690625,1.532745e-08,0.0
55.765,0.0,34.378440625,1.5297899999999997e-08,0.0
55.765,0.0,34.378190625,1.5009225e-08,0.0
55.765,0.0,34.377940625,1.486195e-08,0.0
55.765,0.0,34.377690625,1.4122125e-08,0.0
55.765,0.0,34.377440625,1.48563e-08,0.0
55.765,0.0,34.377190625,1.48692e-08,0.0
55.765,0.0,34.376940625,1.458935e-08,0.0
55.765,0.0,34.376690625,1.4596675e-08,0.0
55.765,0.0,34.376440625,1.45922e-08,0.0
55.765,0.0,34.376190625,1.45081e-08,0.0
55.765,0.0,34.375940625,1.488945e-08,0.0
55.765,0.0,34.375690625,1.5659899999999997e-08,0.0
55.765,0.0,34.375440625,1.4913525e-08,0.0
55.765,0.0,34.375190625,1.511625e-08,0.0
55.765,0.0,34.374940625,1.494285e-08,0.0
55.765,0.0,34.374690625,1.501895e-08,0.0
55.765,0.0,34.374440625,1.518065e-08,0.0
55.765,0.0,34.374190625,1.5187775e-08,0.0
55.765,0.0,34.373940625,1.532705e-08,0.0
55.765,0.0,34.373690625,1.5170775000000002e-08,0.0
55.765,0.0,34.373440625,1.5234675e-08,0.0
55.765,0.0,34.373190625,1.51959e-08,0.0
55.765,0.0,34.372940625,1.5129875e-08,0.0
55.765,0.0,34.372690625,1.5463e-08,0.0
55.765,0.0,34.372440625,1.552355e-08,0.0
55.765,0.0,34.372190625,1.454985e-08,0.0
55.765,0.0,34.371940625,1.522725e-08,0.0
55.765,0.0,34.371690625,1.5205675000000003e-08,0.0
55.765,0.0,34.371440625,1.513015e-08,0.0
55.765,0.0,34.371190625,1.52331e-08,0.0
55.765,0.0,34.370940625,1.507685e-08,0.0
55.765,0.0,34.370690625,1.517585e-08,0.0
55.765,0.0,34.370440625,1.5704275e-08,0.0
55.765,0.0,34.370190625,1.564905e-08,0.0
55.765,0.0,34.369940625,1.5628575e-08,0.0
55.765,0.0,34.369690625,1.563925e-08,0.0
55.765,0.0,34.369440625,1.547415e-08,0.0
55.765,0.0,34.369190625,1.5421375e-08,0.0
55.765,0.0,34.368940625,1.564035e-08,0.0
55.765,0.0,34.368690625,1.54601e-08,0.0
55.765,0.0,34.368440625,1.51559e-08,0.0
55.765,0.0,34.368190625,1.56135e-08,0.0
55.765,0.0,34.367940625,1.5672375e-08,0.0
55.765,0.0,34.367690625,1.5625375e-08,0.0
55.765,0.0,34.367440625,1.587215e-08,0.0
55.765,0.0,34.367190625,1.57218e-08,0.0
55.765,0.0,34.366940625,1.56016e-08,0.0
55.765,0.0,34.366690625,1.5760375e-08,0.0
55.765,0.0,34.366440625,1.576545e-08,0.0
55.765,0.0,34.366190625,1.58791e-08,0.0
55.765,0.0,34.365940625,1.5859075e-08,0.0
55.765,0.0,34.365690625,1.5746575000000002e-08,0.0
55.765,0.0,34.365440625,1.567765e-08,0.0
55.765,0.0,34.365190625,1.57528e-08,0.0
55.765,0.0,34.364940625,1.5722025e-08,0.0
55.765,0.0,34.364690625,1.5735425e-08,0.0
55.765,0.0,34.364440625,1.5873975e-08,0.0
55.765,0.0,34.364190625,1.57893e-08,0.0
55.765,0.0,34.363940625,1.57659e-08,0.0
55.765,0.0,34.363690625,1.584305e-08,0.0
55.765,0.0,34.363440625,1.5556e-08,0.0
55.765,0.0,34.363190625,1.5911625e-08,0.0
55.765,0.0,34.362940625,1.575515e-08,0.0
55.765,0.0,34.362690625,1.58768e-08,0.0
