Y_dimension(mm),Button,True_depth(m),meas,button_raw
57.162,0.0,26.9396296875,1.8315850000000002e-08,0.0
57.162,0.0,26.9393796875,1.80805e-08,0.0
57.162,0.0,26.9391296875,1.8029725e-08,0.0
57.162,0.0,26.9388796875,1.816345e-08,0.0
57.162,0.0,26.9386296875,1.7992400000000002e-08,0.0
57.162,0.0,26.9383796875,1.831685e-08,0.0
57.162,0.0,26.9381296875,1.838705e-08,0.0
57.162,0.0,26.9378796875,1.822155e-08,0.0
57.162,0.0,26.9376296875,1.8712275e-08,0.0
57.162,0.0,26.9373796875,1.869945e-08,0.0
57.162,0.0,26.9371296875,1.8974825e-08,0.0
57.162,0.0,26.9368796875,1.8997e-08,0.0
57.162,0.0,26.9366296875,1.902405e-08,0.0
57.162,0.0,26.9363796875,1.90227e-08,0.0
57.162,0.0,26.9361296875,1.8900375e-08,0.0
57.162,0.0,26.9358796875,1.90381e-08,0.0
57.162,0.0,26.9356296875,1.8764925e-08,0.0
57.162,0.0,26.9353796875,1.910395e-08,0.0
57.162,0.0,26.9351296875,1.9357925e-08,0.0
57.162,0.0,26.9348796875,1.907605e-08,0.0
57.162,0.0,26.9346296875,1.9138975e-08,0.0
57.162,0.0,26.9343796875,1.92724e-08,0.0
57.162,0.0,26.9341296875,1.93232e-08,0.0
57.162,0.0,26.9338796875,1.862315e-08,0.0
57.162,0.0,26.9336296875,1.93767e-08,0.0
57.162,0.0,26.9333796875,1.918075e-08,0.0
57.162,0.0,26.9331296875,1.919305e-08,0.0
57.162,0.0,26.9328796875,1.9674500000000002e-08,0.0
57.162,0.0,26.9326296875,1.9203525000000002e-08,0.0
57.162,0.0,26.9323796875,1.9469e-08,0.0
57.162,0.0,26.9321296875,1.930625e-08,0.0
57.162,0.0,26.9318796875,1.922795e-08,0.0
57.162,0.0,26.9316296875,1.9411475e-08,0.0
57.162,0.0,26.9313796875,1.92259e-08,0.0
57.162,0.0,26.9311296875,1.9263675e-08,0.0
57.162,0.0,26.9308796875,1.91844e-08,0.0
57.162,0.0,26.9306296875,1.91977e-08,0.0
57.162,0.0,26.9303796875,1.913165e-08,0.0
57.162,0.0,26.9301296875,1.907265e-08,0.0
57.162,0.0,26.9298796875,1.90808e-08,0.0
57.162,0.0,26.9296296875,1.90012e-08,0.0
57.162,0.0,26.9293796875,1.9169e-08,0.0
57.162,0.0,26.9291296875,1.919455e-08,0.0
57.162,0.0,26.9288796875,1.8916175e-08,0.0
57.162,0.0,26.9286296875,1.90622e-08,0.0
57.162,0.0,26.9283796875,1.895605e-08,0.0
57.162,0.0,26.9281296875,1.90351e-08,0.0
57.162,0.0,26.9278796875,1.869225e-08,0.0
57.162,0.0,26.9276296875,1.87308e-08,0.0
57.162,0.0,26.9273796875,1.883425e-08,0.0
57.162,0.0,26.9271296875,1.8783975e-08,0.0
57.162,0.0,26.9268796875,1.90032e-08,0.0
57.162,0.0,26.9266296875,1.8633425e-08,0.0
57.162,0.0,26.9263796875,1.894495e-08,0.0
57.162,0.0,26.9261296875,1.898495e-08,0.0
