depth,dip,dip_direction,flag_uncertainty
8.874905502915283,77.54711950892954,356.1304398372979,True
10.874679266085353,72.16104226067291,342.9508832289748,False
11.881096503398098,75.89707511131424,333.13903802066653,False
12.911738802558226,76.8669653631921,327.1323834907644,False
13.931597569880003,68.58966059465854,340.12950511029624,False
14.866126160374387,73.67977906581487,274.79933397359804,True
15.662147387594004,64.17577011019925,330.4759630996178,False
16.611701547396056,75.26285300764499,346.81720838817307,False
17.634216409915695,71.57810591899025,350.99432747653566,False
18.379498009851435,74.55415893689457,24.57448179248911,True
19.04570549251935,73.52035752940134,3.3081880345770287,False
20.05228049306877,,,False
20.81103410121473,67.11325503096917,11.733570031163424,False
21.664348209997236,71.6371057901284,19.32910635673983,False
22.653714565890944,71.92129224534459,22.85116985235601,False
23.700467986976175,73.44091734408536,13.774460981493633,False
24.670443901471636,62.342636223933155,100.6943523778782,False
25.59119565981494,61.88652231544746,106.2286638510219,False
26.528369084641852,71.12318048481447,106.09224635227127,False
27.51296982604287,66.74782042228138,115.2782136615248,False
28.540827428323098,77.23419866192775,104.68155087430034,True
29.263795640469787,68.9358687844453,98.10042260875446,False
30.141165813353926,65.47568791424014,89.3629952519342,False
31.156734107704374,67.31830142600423,223.11510815195143,False
32.0715186178659,71.35979776855005,222.39358072415746,True
33.01235175979594,67.23458035011438,229.20983112416835,False
33.98615246484543,69.02612781618834,218.67260987455282,False
34.85278023861757,70.3894537180076,205.0346278536933,False
35.67862429864159,,,False
36.33652916471994,67.6222479061697,221.08436430291184,False
37.1882857191022,69.09798986753408,229.39759111541662,False
38.32160686071448,65.64856263066703,229.25729272962417,False
39.889707771839156,65.44411060798501,60.32298480678679,False
40.9139881956087,67.54075078749686,163.1861362013784,False
41.77900968195806,66.3447079317743,131.94276508219332,False
43.09071090880936,66.31226077426089,138.87912600938728,False
43.94225207713995,66.68145512624258,148.7421598855898,False
45.042582784213145,,,False
45.96872638853788,68.44365783401533,279.18990824962134,False
