depth_m,AC,DC
0.015,1.48E-08,5.12E-06
0.025,1.47E-08,5.18E-06
0.035,1.46E-08,5.63E-06
0.045,1.43E-08,5.80E-06
0.055,1.39E-08,5.92E-06
0.065,1.36E-08,5.71E-06
0.075,1.33E-08,5.32E-06
0.085,1.32E-08,5.07E-06
0.095,1.34E-08,4.90E-06
0.105,1.36E-08,4.65E-06
0.115,1.33E-08,4.56E-06
0.125,1.35E-08,4.72E-06
0.135,1.35E-08,4.71E-06
0.145,1.37E-08,4.86E-06
0.155,1.37E-08,4.95E-06
0.165,1.40E-08,4.97E-06
0.175,1.42E-08,5.08E-06
0.185,1.43E-08,5.05E-06
0.195,1.42E-08,5.17E-06
0.205,1.41E-08,5.38E-06
0.215,1.38E-08,5.47E-06
0.225,1.36E-08,5.39E-06
0.235,1.36E-08,5.23E-06
0.245,1.37E-08,5.06E-06
0.255,1.36E-08,4.80E-06
0.265,1.33E-08,4.60E-06
0.275,1.34E-08,4.87E-06
0.285,1.37E-08,4.93E-06
0.295,1.40E-08,4.67E-06
0.305,1.43E-08,4.76E-06
0.315,1.46E-08,5.10E-06
0.325,1.52E-08,5.24E-06
0.335,1.54E-08,5.55E-06
0.345,1.58E-08,5.77E-06
0.355,1.60E-08,6.15E-06
0.365,1.62E-08,6.16E-06
0.375,1.66E-08,6.07E-06
0.385,1.63E-08,6.01E-06
0.395,1.62E-08,6.36E-06
0.405,1.62E-08,5.81E-06
0.415,1.62E-08,5.08E-06
0.425,1.60E-08,5.05E-06
0.435,1.59E-08,5.03E-06
0.445,1.60E-08,4.87E-06
0.455,1.60E-08,4.89E-06
0.465,1.63E-08,4.85E-06
0.475,1.66E-08,4.99E-06
0.485,1.69E-08,5.04E-06
0.495,1.70E-08,5.18E-06
0.505,1.70E-08,5.45E-06
0.515,1.67E-08,5.53E-06
0.525,1.68E-08,5.46E-06
0.535,1.67E-08,5.29E-06
0.545,1.64E-08,5.05E-06
0.555,1.64E-08,5.09E-06
0.565,1.63E-08,5.10E-06
0.575,1.66E-08,5.06E-06
0.585,1.70E-08,4.82E-06
0.595,1.74E-08,4.73E-06
0.605,1.79E-08,5.26E-06
0.615,1.82E-08,5.56E-06
0.625,1.84E-08,5.97E-06
0.635,1.85E-08,6.42E-06
0.645,1.85E-08,6.46E-06
0.655,1.82E-08,6.55E-06
0.665,1.78E-08,6.49E-06
0.675,1.74E-08,6.22E-06
0.685,1.73E-08,5.75E-06
0.695,1.72E-08,5.59E-06
0.705,1.75E-08,5.64E-06
0.715,1.76E-08,5.49E-06
0.725,1.24E-08,5.79E-06
0.735,2.76E-09,5.71E-06
0.745,-2.85E-10,4.78E-06
0.755,,
0.765,,
0.775,,
0.785,,
0.795,,
0.805,1.77E-08,7.08E-06
0.815,1.66E-08,6.25E-06
0.825,1.61E-08,6.26E-06
0.835,1.55E-08,6.19E-06
0.845,1.53E-08,6.06E-06
0.855,1.48E-08,5.87E-06
0.865,1.45E-08,5.71E-06
0.875,1.45E-08,5.70E-06
0.885,1.42E-08,5.64E-06
0.895,1.41E-08,5.45E-06
0.905,1.38E-08,5.40E-06
0.915,1.35E-08,5.25E-06
0.925,1.36E-08,5.25E-06
0.935,1.35E-08,5.19E-06
0.945,1.35E-08,5.05E-06
0.955,1.32E-08,5.11E-06
0.965,1.31E-08,5.02E-06
