depth,d18O,d17O,dD,dxs,CH4,CO,concentration,total_counts,small,medium,large,XL,small_percentage,medium_percentage,large_percentage,XL_percentage,age
0.0,-42.10568217219873,-22.399209868414736,-333.0167729167063,3.8286844608835784,645.7489029834204,0.055760666933970804,1192.9675798605542,,,,,,,,,,
0.05,-39.58444098931381,-21.059456098226235,-317.4481205670427,-0.772592652532209,644.9771355461585,0.05981875478185539,3550.7643502962424,337.666666658,265.666666676,71.999999982,0.0,0.0,78.67719645098282,21.322803549017173,0.0,0.0,
0.1,-39.371627238791845,-20.983999009807672,-317.02922055155824,-2.0562026412235004,616.0752030717015,0.05955781856306814,9682.012792546437,806.9191919013939,670.1919191935758,133.09090907290908,2.181818179636364,1.4545454552727273,79.51660061780007,20.397004427698104,0.051836972669990655,0.034557981831830745,
0.15,-39.45936416582709,-21.046752888723574,-318.35280449261717,-2.677891166000434,514.526616141369,0.05848556025386131,9454.641428743049,4208.999999916,3602.999999946,575.999999982,17.999999982000002,12.000000006,85.60228082722514,13.684960798134838,0.42765502452742293,0.2851033501126036,
0.2,-39.265754440915714,-20.92665940206678,-316.16616074418374,-2.0401252168579207,,,10237.391395331106,3964.666666648,3449.166666673,477.99999998849995,26.499999981000002,11.0000000055,87.0892866374097,11.949549657963127,0.6842154700572914,0.2769482345698924,
0.25,-39.17589974131014,-20.872635347196503,-315.0082143352237,-1.601016404742558,,,8468.75050442422,3624.5555555866667,3180.722222266667,407.83333333,29.33333332,6.66666667,87.70898377951085,11.30986261415243,0.8019581936519506,0.17919541268478745,
0.3,-39.36201769046692,-20.936187368554336,-316.62022225086184,-1.7240807271265235,,,8415.450584574692,3433.0,2951.5,463.5,18.0,0.0,85.97436644334402,13.501310806874454,0.5243227497815321,0.0,
0.35,-39.261679955751134,-20.892171648245633,-316.61443696387096,-2.520997317861934,,,7894.693276869533,3433.0,2951.5,463.5,18.0,0.0,85.97436644334402,13.501310806874454,0.5243227497815321,0.0,
0.4,-38.83021427965848,-20.69628003892728,-312.25038266658396,-1.6086684293162146,,,9505.941437219704,3433.0,2951.5,463.5,18.0,0.0,85.97436644334402,13.501310806874455,0.5243227497815321,0.0,
0.45,-38.72943476852159,-20.614903672230923,-311.62322230442203,-1.7877441562491905,419.36317361141187,0.08327499160433333,10215.04543116878,3931.0370370722962,3423.61728398,480.185185194,21.35802468548148,5.876543212814814,87.01444922514582,12.304427683914959,0.5420003823043458,0.13912270863486992,
0.5,-38.690580935500684,-20.62136371938422,-311.63184409095163,-2.1071966069461316,418.11586967488245,0.06740236093733903,10077.169759227938,4224.000000056,3701.33333338,490.000000014,23.333333324,9.333333338,87.62626262620572,11.600378788056434,0.5523989896707068,0.22095959606714632,
0.55,-38.613998108655075,-20.597260136046405,-311.97179783168303,-3.059812962442349,406.10466062654626,0.08049436609923943,9798.01723979427,4224.000000056,3701.33333338,490.000000014,23.333333324000005,9.333333338,87.6262626262057,11.600378788056434,0.5523989896707068,0.22095959606714632,
0.6,-38.548293692484336,-20.49409418405861,-311.35915348338955,-2.9728039435148865,384.5112318902091,0.06853080800106227,8868.352512446361,3723.666666512,3344.999999888,362.66666664,15.999999984,0.0,89.83081192445451,9.739504072734682,0.4296840028107934,0.0,
0.65,-38.606489742155226,-20.550722532465347,-310.9645943390487,-2.1126764018068362,357.1805512274441,0.06143252047242198,10532.137778537844,3723.6666665119997,3344.999999888,362.66666664,15.999999984,0.0,89.83081192445451,9.739504072734682,0.4296840028107934,0.0,
0.85,-39.269902720714256,-20.938293385857186,-316.58566976372356,-2.426447998009492,,,56527.77964391049,1351.99999996,1209.3333332920001,133.33333334,7.999999995999999,1.333333332,89.44773175501327,9.861932939640884,0.5917159760530094,0.09861932929285858,
0.9,-39.495267645145624,-21.02169893716312,-318.3755291925929,-2.4133880314279827,,,11706.524658581175,1351.99999996,1209.3333332920001,133.33333334,7.999999996,1.333333332,89.44773175501327,9.861932939640885,0.5917159760530094,0.09861932929285858,
0.95,-39.499031658446214,-21.012086876937953,-318.5865322010861,-2.59427893351637,,,15317.728897064517,1351.99999996,1209.3333332920001,133.33333334,7.999999996,1.333333332,89.44773175501327,9.861932939640885,0.5917159760530094,0.09861932929285859,
1.05,-39.67721228873427,-21.16808966295642,-319.6787900331611,-2.2610917232868926,,,15293.222363636267,1351.99999996,1209.3333332920001,133.33333334,7.999999996,1.333333332,89.44773175501327,9.861932939640885,0.5917159760530094,0.09861932929285859,
1.1,-39.74602601432996,-21.18653810260142,-320.4863834800554,-2.518175365415725,,,15092.405886102322,1351.99999996,1209.3333332920001,133.33333334,7.999999996,1.333333332,89.44773175501327,9.861932939640885,0.5917159760530094,0.09861932929285858,
1.15,-39.511469333701996,-21.036804052182443,-318.28134458356345,-2.189589913947512,,,15588.406221465546,1351.99999996,1209.333333292,133.33333334,7.999999996,1.333333332,89.44773175501327,9.861932939640885,0.5917159760530094,0.09861932929285858,
1.25,-39.565897342495106,-21.048660095376285,-318.0444734557834,-1.5172947158226202,,,15159.209703993802,6271.75,5631.75,608.0,32.0,0.0,89.79551161956391,9.69426396141428,0.5102244190218042,0.0,
1.3,-39.59938894316517,-21.08600979159935,-317.9644369875706,-1.1693254422492754,,,15817.273330842094,6187.1,5554.3,601.6,31.2,0.0,89.76676113147836,9.730373406502988,0.5028654620186446,0.0,
1.35,-39.699570489948634,-21.17238852692534,-317.86278900156253,-0.2662250819734924,,,21896.341171130018,6891.717741935484,6130.298387096775,741.9354838709677,19.483870967741936,0.0,89.02494325145402,10.668525229629456,0.30653151891652,0.0,
1.4,-39.68578916968043,-21.1621126703991,-317.4230306749037,0.0632826825396847,,,24833.913079168156,9787.125,8619.5,1135.625,30.125,1.875,87.90402242764497,11.716077128439634,0.3572637180914136,0.022636725823976817,
1.45,-39.727049618466296,-21.147219630838762,-317.7263933116313,0.0900036360991244,,,33326.63073583928,8283.0,7191.75,1031.25,56.25,3.75,86.82542557044549,12.450199203187251,0.6791017747193046,0.045273451647953634,
1.5,-40.24341044360972,-21.42478338327308,-320.7681105891474,1.1791729597304068,,,34178.70489572153,8283.0,7191.75,1031.25,56.25,3.75,86.82542557044549,12.450199203187251,0.6791017747193046,0.045273451647953634,
1.55,-41.096022049865724,-21.891008347318913,-328.07941077174013,0.6887656271856345,,,43822.88246741007,15379.896552227587,13658.258621146551,1661.637931088793,55.603448270689654,4.396551721551725,88.20973115906195,11.29952813216968,0.45713103273696604,0.03360967603140734,
