depth,d18O,dD,dxs,CH4,CO,CO2,concentration,XL,large,medium,small,total_counts,small_percentage,large_percentage,XL_percentage,flow_rate
37.58,-38.86320225,-307.0876439,3.817974117,,,,7082.866829,2.789012281,5.534964826,38.07929227,447.6723919,494.0756613,90.38896693,1.136759625,0.603536297,0.05968019
37.6,-39.22620582,-308.074598,5.735048623,,,,12487.47018,0.170696117,2.849357284,32.05808154,605.4822675,640.5604025,93.10488913,0.57054651,0.035412792,0.057398919
37.62,-39.09171738,-308.7715224,3.962216622,,,,18911.58638,0.126041257,3.921749373,38.08464155,608.3280099,650.4604421,91.56181275,0.787355632,0.025577354,0.058060392
37.64,-39.17103068,-309.383969,3.984276468,,,,8002.541956,0.194485161,3.030780591,35.8046183,421.4313445,460.4612285,91.54030328,0.65493607,0.042778443,0.057899424
37.66,-39.17248065,-309.7574519,3.622393361,,,,8281.373399,0.141197327,2.230635385,34.60900403,406.8475736,443.8284103,91.62425272,0.508142448,0.033349317,0.05686109
37.68,-39.35590174,-310.327701,4.519512933,,,,8814.543373,0.12976288,2.379922278,32.71973467,450.2911918,485.5206116,92.74527167,0.495129299,0.027421047,0.057150212
37.7,-39.19727512,-310.5322773,3.045923733,,,,13427.91436,0.345175327,2.740477989,37.36902847,602.159423,642.6141048,92.19285328,0.518377661,0.053929529,0.057233228
37.72,-39.21981833,-311.0000664,2.758480175,,,,10039.22644,0.364954648,2.749155868,41.29950959,506.9032628,551.3168829,91.9402276,0.498743144,0.067551938,0.057007192
37.74,-39.4234703,-311.2696844,4.118077943,,,,11163.12062,0.176490062,3.186284183,48.24525903,559.3477911,610.9558243,91.56868543,0.527031537,0.029107727,0.055451746
37.76,-39.43412757,-311.336128,4.136892543,,,,11477.25219,0.25457825,3.410971932,47.33401921,573.7934177,624.7929871,91.84224657,0.544219372,0.038627864,0.056312444
37.78,-39.48299153,-311.3887583,4.475173891,,,,10390.76994,0.061891674,2.688525584,40.61410285,534.1457337,577.5102538,92.48494295,0.468148052,0.010314984,0.058957091
37.8,-39.38534374,-311.6802205,3.402529461,,,,13307.47291,0.238187239,3.072168921,44.91692995,647.9179113,696.1451974,93.05164009,0.443792797,0.035870086,0.056464603
37.82,-39.63183085,-311.749477,5.305169779,573.4600454,0.086517241,85.65358621,17017.07558,0.049135448,3.150633807,62.09814447,918.6375009,983.9354146,93.35694603,0.319274979,0.005820722,0.056894389
37.84,-39.3317712,-311.878723,2.775446639,558.5076316,0.09227027,82.45756757,19940.82317,0.11024967,3.505433516,66.28454542,1038.602603,1108.502831,93.6888319,0.317663297,0.009761756,0.056164275
37.86,-39.3153751,-312.2897682,2.233232598,548.9960197,0.09075,80.75816667,19057.44009,0.081894639,5.150126375,65.74530625,967.928803,1038.90613,93.40329375,0.465279363,0.010286531,0.057410378
37.88,-39.26767112,-312.2936732,1.847695726,,,,23738.64837,0.332790528,6.300043278,78.06713347,1113.551427,1198.251394,92.93428154,0.523657489,0.027876913,0.050568339
37.9,-39.58795784,-312.4665002,4.23716253,,,,20536.54856,3.106900458,14.72477052,91.61169832,1008.205156,1117.648525,90.24985486,1.231448017,0.57616838,0.055881211
