depth_m,AC,DC
11.015,1.22E-08,4.19E-06
11.025,1.21E-08,4.09E-06
11.035,1.21E-08,4.07E-06
11.045,1.19E-08,4.02E-06
11.055,1.17E-08,3.97E-06
11.065,1.16E-08,3.90E-06
11.075,1.14E-08,3.74E-06
11.085,1.12E-08,3.63E-06
11.095,1.10E-08,3.40E-06
11.105,1.08E-08,3.29E-06
11.115,1.08E-08,3.24E-06
11.125,1.06E-08,3.15E-06
11.135,1.04E-08,3.05E-06
11.145,1.04E-08,2.89E-06
11.155,1.03E-08,2.81E-06
11.165,1.03E-08,2.68E-06
11.175,1.04E-08,2.54E-06
11.185,1.03E-08,2.38E-06
11.195,1.03E-08,2.25E-06
11.205,1.03E-08,2.06E-06
11.215,1.03E-08,2.03E-06
11.225,1.02E-08,2.17E-06
11.235,1.02E-08,2.19E-06
11.245,1.02E-08,2.19E-06
11.255,1.02E-08,2.20E-06
11.265,1.02E-08,2.27E-06
11.275,1.02E-08,2.36E-06
11.285,1.02E-08,2.42E-06
11.295,1.02E-08,2.50E-06
11.305,1.04E-08,2.57E-06
11.315,1.06E-08,2.63E-06
11.325,1.05E-08,2.57E-06
11.335,9.77E-09,2.45E-06
11.345,,
11.355,,
11.365,,
11.375,,
11.385,,
11.395,,
11.405,,
11.415,,
11.425,,
11.435,1.11E-08,3.84E-06
11.445,1.07E-08,4.07E-06
11.455,1.01E-08,3.77E-06
11.465,9.79E-09,3.52E-06
11.475,9.56E-09,3.36E-06
11.485,9.45E-09,3.34E-06
11.495,9.40E-09,3.35E-06
11.505,9.41E-09,3.29E-06
11.515,9.46E-09,3.30E-06
11.525,9.50E-09,3.30E-06
11.535,9.59E-09,3.33E-06
11.545,9.64E-09,3.34E-06
11.555,9.66E-09,3.38E-06
11.565,9.77E-09,3.53E-06
11.575,9.87E-09,3.81E-06
11.585,1.00E-08,3.94E-06
11.595,1.02E-08,4.08E-06
11.605,1.03E-08,4.27E-06
11.615,1.05E-08,4.47E-06
11.625,1.07E-08,4.56E-06
11.635,1.09E-08,4.77E-06
11.645,1.10E-08,4.94E-06
11.655,1.11E-08,5.11E-06
11.665,1.13E-08,5.20E-06
11.675,1.14E-08,5.32E-06
11.685,1.15E-08,5.39E-06
11.695,1.16E-08,5.45E-06
11.705,1.17E-08,5.52E-06
11.715,1.19E-08,5.55E-06
11.725,1.20E-08,5.57E-06
11.735,1.20E-08,5.50E-06
11.745,1.20E-08,5.49E-06
11.755,1.21E-08,5.38E-06
11.765,1.23E-08,5.49E-06
11.775,1.23E-08,5.36E-06
11.785,1.22E-08,5.36E-06
11.795,1.24E-08,5.43E-06
11.805,1.26E-08,5.57E-06
11.815,1.26E-08,5.57E-06
11.825,1.26E-08,5.56E-06
11.835,1.26E-08,5.54E-06
11.845,1.20E-08,5.40E-06
11.855,1.09E-08,5.01E-06
11.865,1.10E-08,5.21E-06
11.875,1.23E-08,5.34E-06
11.885,1.26E-08,5.66E-06
11.895,1.28E-08,5.70E-06
11.905,1.29E-08,5.82E-06
11.915,1.29E-08,5.95E-06
11.925,1.29E-08,5.96E-06
11.935,1.28E-08,5.87E-06
11.945,1.30E-08,6.04E-06
11.955,1.30E-08,6.27E-06
11.965,1.30E-08,6.24E-06
11.975,1.30E-08,6.34E-06
11.985,1.31E-08,6.38E-06
11.995,1.30E-08,6.34E-06
12.005,1.30E-08,6.33E-06
12.015,1.31E-08,6.35E-06
12.025,1.32E-08,6.35E-06
12.035,1.32E-08,6.25E-06
12.045,1.31E-08,6.17E-06
12.055,1.31E-08,6.24E-06
12.065,1.31E-08,6.22E-06
12.075,1.32E-08,6.21E-06
12.085,1.32E-08,6.18E-06
12.095,1.32E-08,6.20E-06
12.105,1.32E-08,6.22E-06
12.115,1.32E-08,6.24E-06
12.125,1.32E-08,6.19E-06
12.135,1.32E-08,6.21E-06
12.145,1.32E-08,6.06E-06
12.155,1.32E-08,5.89E-06
12.165,1.33E-08,6.00E-06
12.175,1.34E-08,6.11E-06
12.185,1.35E-08,6.17E-06
12.195,1.35E-08,6.23E-06
12.205,1.35E-08,6.24E-06
12.215,1.35E-08,6.11E-06
12.225,1.36E-08,5.99E-06
12.235,1.37E-08,5.72E-06
12.245,1.36E-08,5.64E-06
12.255,1.37E-08,5.81E-06
12.265,1.49E-08,6.35E-06
12.275,1.51E-08,6.35E-06
12.285,1.53E-08,6.28E-06
12.295,1.55E-08,6.51E-06
12.305,1.58E-08,6.47E-06
12.315,1.62E-08,6.61E-06
12.325,1.69E-08,6.57E-06
12.335,,
12.345,,
12.355,,
12.365,,
12.375,,
12.385,,
12.395,,
12.405,,
12.415,,
12.425,,
12.435,,
12.445,1.52E-08,
12.455,1.46E-08,5.67E-06
12.465,1.38E-08,5.96E-06
12.475,1.35E-08,5.86E-06
12.485,1.34E-08,5.99E-06
12.495,1.33E-08,6.06E-06
12.505,1.33E-08,6.13E-06
12.515,1.32E-08,6.12E-06
12.525,1.33E-08,5.83E-06
12.535,1.32E-08,5.76E-06
12.545,1.32E-08,5.87E-06
12.555,1.32E-08,5.97E-06
12.565,1.32E-08,5.90E-06
12.575,1.32E-08,5.90E-06
12.585,1.30E-08,5.85E-06
12.595,1.30E-08,5.79E-06
12.605,1.30E-08,5.90E-06
12.615,1.29E-08,5.93E-06
12.625,1.29E-08,6.02E-06
12.635,1.29E-08,5.97E-06
12.645,1.29E-08,6.04E-06
12.655,1.29E-08,6.01E-06
12.665,1.28E-08,6.07E-06
12.675,1.28E-08,6.08E-06
12.685,1.28E-08,5.96E-06
12.695,1.28E-08,5.90E-06
12.705,1.29E-08,5.87E-06
12.715,1.28E-08,5.89E-06
12.725,1.28E-08,5.88E-06
12.735,1.29E-08,5.92E-06
12.745,1.29E-08,5.84E-06
12.755,1.29E-08,5.79E-06
12.765,1.29E-08,5.76E-06
12.775,1.29E-08,5.84E-06
12.785,1.28E-08,5.81E-06
12.795,1.29E-08,5.73E-06
12.805,1.29E-08,5.78E-06
12.815,1.29E-08,5.77E-06
12.825,1.29E-08,5.75E-06
12.835,1.30E-08,5.73E-06
12.845,1.30E-08,5.77E-06
12.855,1.30E-08,5.75E-06
12.865,1.29E-08,5.89E-06
12.875,1.29E-08,5.82E-06
12.885,1.29E-08,5.88E-06
12.895,1.29E-08,6.00E-06
12.905,1.28E-08,6.03E-06
12.915,1.28E-08,5.97E-06
12.925,1.28E-08,5.89E-06
12.935,1.27E-08,5.87E-06
12.945,1.27E-08,5.88E-06
12.955,1.27E-08,5.99E-06
12.965,1.26E-08,6.03E-06
12.975,1.26E-08,5.98E-06
12.985,1.26E-08,5.97E-06
12.995,1.25E-08,5.81E-06
13.005,1.25E-08,5.70E-06
13.015,1.25E-08,5.62E-06
13.025,1.25E-08,5.48E-06
13.035,1.25E-08,5.35E-06
13.045,1.24E-08,5.36E-06
13.055,1.23E-08,5.35E-06
13.065,1.23E-08,5.33E-06
13.075,1.23E-08,5.22E-06
13.085,1.22E-08,5.26E-06
13.095,1.21E-08,5.15E-06
13.105,1.21E-08,5.01E-06
13.115,1.20E-08,4.98E-06
13.125,1.20E-08,4.73E-06
13.135,1.19E-08,4.63E-06
13.145,1.18E-08,4.54E-06
13.155,1.17E-08,4.61E-06
13.165,1.14E-08,4.57E-06
13.175,1.13E-08,4.34E-06
13.185,1.12E-08,4.05E-06
13.195,1.10E-08,3.85E-06
13.205,1.08E-08,3.69E-06
13.215,1.06E-08,3.36E-06
13.225,1.05E-08,3.03E-06
13.235,1.03E-08,2.86E-06
13.245,1.01E-08,2.74E-06
13.255,9.95E-09,2.67E-06
13.265,9.77E-09,2.58E-06
13.275,9.65E-09,2.51E-06
13.285,9.49E-09,2.48E-06
13.295,9.32E-09,2.51E-06
13.305,9.37E-09,2.55E-06
13.315,9.35E-09,2.63E-06
13.325,9.44E-09,2.67E-06
13.335,9.51E-09,2.82E-06
13.345,9.82E-09,3.08E-06
13.355,9.84E-09,3.14E-06
13.365,8.44E-09,4.20E-06
13.375,,
13.385,,
13.395,,
13.405,,
13.415,,
13.425,,
13.435,1.34E-08,3.35E-06
13.445,1.31E-08,3.35E-06
13.455,1.21E-08,2.35E-06
13.465,1.19E-08,2.35E-06
13.475,1.18E-08,2.27E-06
13.485,1.18E-08,1.98E-06
13.495,1.17E-08,1.83E-06
13.505,1.16E-08,2.24E-06
13.515,1.15E-08,2.67E-06
13.525,1.15E-08,3.27E-06
13.535,1.15E-08,3.53E-06
13.545,1.14E-08,3.55E-06
13.555,1.13E-08,3.46E-06
13.565,1.13E-08,3.51E-06
13.575,1.12E-08,3.64E-06
13.585,1.12E-08,3.77E-06
13.595,1.10E-08,3.79E-06
13.605,1.08E-08,3.69E-06
13.615,1.08E-08,3.64E-06
13.625,1.06E-08,3.78E-06
13.635,1.04E-08,3.71E-06
13.645,1.02E-08,3.64E-06
13.655,1.00E-08,3.51E-06
13.665,9.87E-09,3.46E-06
13.675,9.65E-09,3.38E-06
13.685,9.48E-09,3.34E-06
13.695,9.36E-09,3.24E-06
13.705,9.19E-09,3.14E-06
13.715,9.06E-09,3.05E-06
13.725,9.01E-09,2.87E-06
13.735,8.92E-09,2.67E-06
13.745,8.93E-09,2.79E-06
13.755,8.98E-09,2.82E-06
13.765,9.17E-09,2.94E-06
13.775,9.31E-09,3.01E-06
13.785,9.48E-09,3.20E-06
13.795,9.67E-09,3.37E-06
13.805,9.79E-09,3.35E-06
13.815,9.87E-09,3.36E-06
13.825,9.97E-09,3.39E-06
13.835,1.00E-08,3.45E-06
13.845,1.00E-08,3.43E-06
13.855,9.99E-09,3.36E-06
13.865,9.99E-09,3.33E-06
13.875,1.01E-08,3.31E-06
13.885,1.03E-08,3.25E-06
13.895,1.03E-08,3.26E-06
13.905,1.04E-08,3.29E-06
13.915,1.05E-08,3.37E-06
13.925,1.06E-08,3.52E-06
13.935,1.07E-08,3.49E-06
13.945,1.08E-08,3.62E-06
13.955,1.09E-08,3.76E-06
13.965,1.11E-08,3.70E-06
13.975,1.12E-08,3.65E-06
13.985,1.12E-08,3.76E-06
13.995,1.12E-08,3.73E-06
14.005,1.11E-08,3.57E-06
14.015,1.10E-08,3.47E-06
14.025,1.09E-08,3.60E-06
14.035,1.07E-08,3.70E-06
14.045,1.06E-08,3.66E-06
14.055,1.06E-08,3.68E-06
14.065,1.04E-08,3.78E-06
14.075,1.03E-08,3.77E-06
14.085,1.04E-08,3.77E-06
14.095,1.04E-08,3.75E-06
14.105,1.05E-08,3.67E-06
14.115,1.07E-08,3.72E-06
14.125,1.10E-08,3.72E-06
14.135,1.11E-08,3.84E-06
14.145,1.12E-08,3.82E-06
14.155,1.13E-08,3.80E-06
14.165,1.13E-08,3.79E-06
14.175,1.14E-08,3.85E-06
14.185,1.15E-08,3.85E-06
14.195,1.15E-08,3.89E-06
14.205,1.16E-08,3.87E-06
14.215,1.16E-08,3.81E-06
14.225,1.17E-08,3.84E-06
14.235,1.16E-08,3.89E-06
14.245,1.10E-08,3.76E-06
14.255,1.09E-08,3.82E-06
14.265,1.10E-08,3.92E-06
14.275,1.10E-08,3.83E-06
14.285,1.11E-08,3.74E-06
14.295,1.11E-08,3.71E-06
14.305,1.11E-08,3.61E-06
14.315,1.12E-08,3.66E-06
14.325,1.10E-08,3.64E-06
14.335,1.15E-08,3.54E-06
14.345,1.16E-08,3.53E-06
14.355,1.16E-08,3.38E-06
14.365,1.15E-08,3.38E-06
14.375,1.15E-08,3.37E-06
14.385,1.17E-08,3.34E-06
